The following processes has Re-Define across SubRES:
------------------------------------------------
Scenario-Region-Process

NewTransport-KEA ; SI ; T_P_McyICEPET
NewTech_ELC_TUI ; SI ; ENUC_LWR20
NewTech_ELC_TUI ; SI ; EOIL20
NewTech_ELC_TUI ; SI ; ESOLPVBCOM20
NewTech_ELC_TUI ; SI ; ESOLPVBRES20
NewTech_ELC_TUI ; SI ; ESOLPVDISTGR20
NewTech_ELC_TUI ; SI ; ESOLPVUTIFIX20
NewTech_ELC_TUI ; SI ; ESOLPVUTITRAC20
NewTech_ELC_TUI ; SI ; ETIDE20
NewTech_ELC_TUI ; SI ; EWINDCONS20
NewTech_ELC_TUI ; SI ; EWINDDIST20
NewTech_ELC_TUI ; SI ; EWINDHIGHCF20
NewTech_ELC_TUI ; SI ; EWINDLOWCF20
NewTech_ELC_TUI ; SI ; EWINDOFFSFIX20
NewTech_ELC_TUI ; SI ; EWINDOFFSFLOA20
NewTech_ELC_TUI ; SI ; EWOD20
NewTech_ELC_TUI ; SI ; EWSTINC20
NewTransport-KEA ; NI ; T_C_CBEVELC
NewTransport-KEA ; NI ; T_F_MTrFCH2R
NewTransport-KEA ; NI ; T_F_MTrICEDSL
NewTransport-KEA ; NI ; T_F_VHTBEVELC
NewTransport-KEA ; NI ; T_F_VHTFCH2R
NewTransport-KEA ; NI ; T_F_VHTICEDSL
NewTransport-KEA ; NI ; T_P_BusBEVELC
NewTransport-KEA ; NI ; T_P_BusFCH2R
NewTransport-KEA ; NI ; T_P_BusICEDSL
NewTransport-KEA ; NI ; T_P_CBEVELC
NewTransport-KEA ; NI ; T_P_CFCH2R
NewTransport-KEA ; NI ; T_P_CHYBDSL
NewTransport-KEA ; NI ; T_P_CHYBPET
NewTransport-KEA ; NI ; T_P_CICEDSL
NewTransport-KEA ; NI ; T_P_CICEPET
NewTransport-KEA ; NI ; T_P_CPHEVDSL
NewTransport-KEA ; NI ; T_P_CPHEVPET
NewTransport-KEA ; NI ; T_P_McyBEVELC
NewTransport-KEA ; NI ; T_P_McyICEPET
NewTransport-KEA ; SI ; T_C_CBEVELC
NewTransport-KEA ; SI ; T_C_CFCH2R
NewTransport-KEA ; SI ; T_C_CHYBDSL
NewTransport-KEA ; SI ; T_C_CHYBPET
NewTransport-KEA ; SI ; T_C_CICEDSL
NewTransport-KEA ; SI ; T_C_CICEPET
NewTransport-KEA ; SI ; T_C_CPHEVDSL
NewTransport-KEA ; SI ; T_C_CPHEVPET
NewTransport-KEA ; SI ; T_F_HTrBEVELC
NewTransport-KEA ; SI ; T_F_HTrFCH2R
NewTransport-KEA ; SI ; T_F_HTrICEDSL
NewTransport-KEA ; SI ; T_F_MTrBEVELC
NewTransport-KEA ; SI ; T_F_MTrFCH2R
NewTransport-KEA ; SI ; T_F_MTrICEDSL
NewTransport-KEA ; SI ; T_F_VHTBEVELC
NewTransport-KEA ; SI ; T_F_VHTFCH2R
NewTransport-KEA ; SI ; T_F_VHTICEDSL
NewTransport-KEA ; SI ; T_P_BusBEVELC
NewTransport-KEA ; SI ; T_P_BusFCH2R
NewTransport-KEA ; SI ; T_P_BusICEDSL
NewTransport-KEA ; SI ; T_P_CBEVELC
NewTransport-KEA ; SI ; T_P_CFCH2R
NewTransport-KEA ; SI ; T_P_CHYBDSL
NewTransport-KEA ; SI ; T_P_CHYBPET
NewTransport-KEA ; SI ; T_P_CICEDSL
NewTransport-KEA ; SI ; T_P_CICEPET
NewTransport-KEA ; SI ; T_P_CPHEVDSL
NewTransport-KEA ; SI ; T_P_CPHEVPET
NewTransport-KEA ; SI ; T_P_McyBEVELC
NewTransport-TUI ; NI ; T_C_CBEVELC
NewTransport-KEA ; NI ; T_C_CFCH2R
NewTransport-KEA ; NI ; T_C_CHYBDSL
NewTransport-KEA ; NI ; T_C_CHYBPET
NewTransport-KEA ; NI ; T_C_CICEDSL
NewTransport-KEA ; NI ; T_C_CICEPET
NewTransport-KEA ; NI ; T_C_CPHEVDSL
NewTransport-KEA ; NI ; T_C_CPHEVPET
NewTransport-KEA ; NI ; T_F_HTrBEVELC
